location_id,time,nitrogen_dioxide,temperature_2m,relative_humidity_2m,rain,wind_speed_10m
1,2026-09-26T18:00,33.3,30.4,59,0.0,6.0
1,2026-09-26T19:00,41.2,29.9,62,0.0,5.2
1,2026-09-26T20:00,46.8,29.4,66,0.0,3.4
1,2026-09-26T21:00,51.6,29.0,70,0.0,1.5
2,2026-09-26T18:00,0.6,28.8,77,0.0,18.7
2,2026-09-26T19:00,1.1,28.8,75,0.0,16.8
2,2026-09-26T20:00,2.6,28.8,74,0.0,15.2
2,2026-09-26T21:00,4.7,28.7,74,0.0,12.5
3,2026-09-26T18:00,11.3,29.6,61,0.0,12.4
3,2026-09-26T19:00,16.4,29.3,61,0.0,8.7
3,2026-09-26T20:00,22.5,29.0,60,0.0,7.1
3,2026-09-26T21:00,29.3,28.5,60,0.0,6.7
4,2026-09-26T18:00,34.1,23.8,93,0.0,2.5
4,2026-09-26T19:00,45.0,23.5,93,0.0,1.9
4,2026-09-26T20:00,54.2,23.2,91,0.0,2.4
4,2026-09-26T21:00,62.2,22.8,92,0.0,2.0
5,2026-09-26T18:00,25.5,25.9,79,0.0,1.7
5,2026-09-26T19:00,28.2,25.3,86,0.0,2.8
5,2026-09-26T20:00,29.3,24.7,90,0.0,1.9
5,2026-09-26T21:00,29.2,24.3,92,0.0,1.4
6,2026-09-26T18:00,24.5,28.4,75,0.0,6.6
6,2026-09-26T19:00,30.7,27.8,78,0.1,2.7
6,2026-09-26T20:00,37.8,27.3,84,0.0,4.0
6,2026-09-26T21:00,45.2,27.0,88,0.0,3.3
7,2026-09-26T18:00,0.9,28.7,77,0.0,19.6
7,2026-09-26T19:00,1.7,28.9,75,0.0,18.0
7,2026-09-26T20:00,3.5,28.8,74,0.0,17.7
7,2026-09-26T21:00,6.0,28.8,75,0.0,15.1
8,2026-09-26T18:00,35.4,30.2,57,0.0,12.7
8,2026-09-26T19:00,49.7,29.7,60,0.0,9.2
8,2026-09-26T20:00,60.2,29.4,61,0.0,7.1
8,2026-09-26T21:00,68.7,29.1,62,0.0,6.9
9,2026-09-26T18:00,90.7,27.8,78,0.4,3.4
9,2026-09-26T19:00,113.4,27.4,83,0.0,2.8
9,2026-09-26T20:00,117.5,27.2,87,0.0,2.6
9,2026-09-26T21:00,112.1,27.2,88,0.0,1.1
10,2026-09-26T18:00,29.7,29.3,64,0.0,11.2
10,2026-09-26T19:00,43.0,29.3,63,0.0,8.2
10,2026-09-26T20:00,54.1,29.1,61,0.0,8.3
10,2026-09-26T21:00,64.0,28.7,63,0.0,7.3
