location_id,time_no2,nitrogen_dioxide,time_weather,temperature_2m,relative_humidity_2m,rain,wind_speed_10m
1,2026-09-26T21:00,51.6,2026-09-26T21:00,29.0,70,0.0,1.5
2,2026-09-26T21:00,4.7,2026-09-26T21:00,28.7,74,0.0,12.5
3,2026-09-26T21:00,29.3,2026-09-26T21:00,28.5,60,0.0,6.7
4,2026-09-26T21:00,62.2,2026-09-26T21:00,22.8,92,0.0,2.0
5,2026-09-26T21:00,29.2,2026-09-26T21:00,24.3,92,0.0,1.4
6,2026-09-26T21:00,45.2,2026-09-26T21:00,27.0,88,0.0,3.3
7,2026-09-26T21:00,6.0,2026-09-26T21:00,28.8,75,0.0,15.1
8,2026-09-26T21:00,68.7,2026-09-26T21:00,29.1,62,0.0,6.9
9,2026-09-26T21:00,112.1,2026-09-26T21:00,27.2,88,0.0,1.1
10,2026-09-26T21:00,64.0,2026-09-26T21:00,28.7,63,0.0,7.3
